date,equity,return,cash,shares,exposed
2019-05-21,10000,0,10000,0,False
2019-05-22,10000,0,10000,0,False
2019-05-23,10000,0,10000,0,False
2019-05-24,10000,0,10000,0,False
2019-05-27,10000,0,10000,0,False
2019-05-28,10000,0,10000,0,False
2019-05-29,10000,0,10000,0,False
2019-05-30,10000,0,10000,0,False
2019-05-31,10000,0,10000,0,False
2019-06-03,10000,0,10000,0,False
2019-06-04,10000,0,10000,0,False
2019-06-05,10000,0,10000,0,False
2019-06-06,10000,0,10000,0,False
2019-06-07,10000,0,10000,0,False
2019-06-10,10000,0,10000,0,False
2019-06-11,10000,0,10000,0,False
2019-06-12,10000,0,10000,0,False
2019-06-13,10000,0,10000,0,False
2019-06-14,10000,0,10000,0,False
2019-06-17,10000,0,10000,0,False
2019-06-18,10000,0,10000,0,False
2019-06-19,10000,0,10000,0,False
2019-06-20,10000,0,10000,0,False
2019-06-21,10000,0,10000,0,False
2019-06-24,10000,0,10000,0,False
2019-06-25,10000,0,10000,0,False
2019-06-26,10000,0,10000,0,False
2019-06-27,10000,0,10000,0,False
2019-06-28,10000,0,10000,0,False
2019-07-01,10000,0,10000,0,False
