date,open,high,low,close
2019-05-21,77.126226148273972,77.707126432383362,76.782105023090111,77.36041345136303
2019-05-22,77.070406764659012,77.65168423787955,76.726557638528462,77.305241746025345
2019-05-23,77.014627779799994,77.596281600068565,76.67105043926685,77.250109387905965
2019-05-24,76.958889164458711,77.540918490727663,76.61558339623366,77.195016348943241
2019-05-27,76.903190889418084,77.485594881654194,76.56015648037814,77.139962601095604
2019-05-28,76.847532925482199,77.430310744665661,76.504769662670597,77.084948116341621
2019-05-29,76.791915243476296,77.375066051599674,76.4494229141023,77.029972866679671
2019-05-30,76.736337814246681,77.319860774313938,76.394116205685705,76.975036824128182
2019-05-31,76.680800608660789,77.264694884686193,76.338849508454004,76.920139960725464
2019-06-03,76.625303597607214,77.209568354614305,76.283622793461447,76.865282248529951
2019-06-04,76.569846751995385,77.154481156016161,76.228436031783204,76.810463659619813
2019-06-05,76.514430042756018,77.09943326082967,76.173289194515306,76.755684166093147
2019-06-06,76.45905344084079,77.044424641012796,76.118182252774901,76.700943740068141
2019-06-07,76.403716917222411,76.98945526854348,76.063115177699842,76.646242353682666
2019-06-10,76.348420442894565,76.934525115419675,76.008087940448902,76.591579979094448
2019-06-11,76.293163988871981,76.87963415365931,75.953100512201686,76.536956588481303
2019-06-12,76.237947526190311,76.824782355300215,75.898152864158803,76.482372154040647
2019-06-13,76.18277102590622,76.769969692400338,75.843244967541551,76.427826647989846
2019-06-14,76.12763445909728,76.71519613703741,75.788376793592064,76.373320042565965
2019-06-17,76.072537796862022,76.660461661309128,75.733548313573309,76.318852310026074
2019-06-18,76.017481010319884,76.605766237333086,75.678759498768983,76.264423422646871
2019-06-19,75.96246407061119,76.551109837246798,75.624010320483734,76.210033352724764
2019-06-20,75.907486948897201,76.496492433207635,75.569300750042785,76.155682072576184
2019-06-21,75.85254961635998,76.441913997392845,75.514630758792165,76.10136955453703
2019-06-24,75.797652044202508,76.387374501999531,75.460000318098565,76.047095770962997
2019-06-25,75.742794203648586,76.332873919244605,75.40540939934958,75.992860694229677
2019-06-26,75.68797606594282,76.278412221364817,75.350857973953353,75.938664296732142
2019-06-27,75.633197602350648,76.223989380616757,75.296346013338692,75.88450655088522
2019-06-28,75.5784587841583,76.169605369276766,75.241873488955164,75.830387429123377
2019-07-01,75.523759582672881,76.115260159640982,75.187440372272874,75.776306903900917
