date,equity,return,cash,shares,exposed
2019-05-21,10000,0,10000,0,False
2019-05-22,10000,0,10000,0,False
2019-05-23,10000,0,10000,0,False
2019-05-24,10000,0,10000,0,False
2019-05-27,10000,0,10000,0,False
2019-05-28,10078.989041883713,0.0078989041883712474,0,132.31861771335437,True
2019-05-29,9941.6090497375899,-0.013630334508275999,0,132.31861771335437,True
2019-05-30,9959.7833177447592,0.001828101257678183,0,132.31861771335437,True
2019-05-31,10048.281899675969,0.0088855931005584754,0,132.31861771335437,True
2019-06-03,9824.062411815803,-0.022314211533754458,0,132.31861771335437,True
2019-06-04,9712.4443488742181,-0.011361701327073925,0,132.31861771335437,True
2019-06-05,10156.21754057659,0.04569119531210597,0,132.31861771335437,True
2019-06-06,9921.6190069371587,-0.023099006367493846,0,132.31861771335437,True
2019-06-07,9462.0910824070961,-0.046315820453170287,0,132.31861771335437,True
2019-06-10,9064.4031205789706,-0.042029606179499579,0,132.31861771335437,True
2019-06-11,9204.5265361879265,0.015458647827658156,0,132.31861771335437,True
2019-06-12,9199.785980114415,-0.00051502443443163237,0,132.31861771335437,True
2019-06-13,9058.0278217420237,-0.015408853931907274,0,132.31861771335437,True
2019-06-14,9430.1898648637925,0.04108643188625094,0,132.31861771335437,True
2019-06-17,8794.0866766958916,-0.067453911032902436,0,132.31861771335437,True
2019-06-18,8885.9376378874731,0.010444627687714814,0,132.31861771335437,True
2019-06-19,9313.7675464996682,0.048146850230867289,0,132.31861771335437,True
2019-06-20,8962.8260816805796,-0.037679860815399091,0,132.31861771335437,True
2019-06-21,8807.2741521127173,-0.017355232395482978,0,132.31861771335437,True
2019-06-24,8555.5490295686468,-0.028581501858175429,0,132.31861771335437,True
2019-06-25,8323.8460328267174,-0.027082189108045052,0,132.31861771335437,True
2019-06-26,8278.2152215748265,-0.005481938405868747,0,132.31861771335437,True
2019-06-27,8606.8545249590243,0.039699294423717335,0,132.31861771335437,True
2019-06-28,9027.3170751760481,0.048852057275712513,0,132.31861771335437,True
2019-07-01,8865.2373913459123,-0.017954358142114435,8865.2373913459123,0,True
