date,equity,return,cash,shares,exposed
2019-05-21,9955.0342195781814,-0.0044965780421818424,0,129.16688625453924,True
2019-05-22,9850.2201035062026,-0.01052875497563277,0,129.16688625453924,True
2019-05-23,9988.6017872933298,0.014048587984127447,0,129.16688625453924,True
2019-05-24,9811.1128630977819,-0.017769146070207187,0,129.16688625453924,True
2019-05-27,9662.1744498293792,-0.015180583013023941,0,129.16688625453924,True
2019-05-28,9838.914988924862,0.018292004559967712,0,129.16688625453924,True
2019-05-29,9704.8072864273254,-0.013630334508275999,0,129.16688625453924,True
2019-05-30,9722.5486568331653,0.0018281012576779609,0,129.16688625453924,True
2019-05-31,9808.9392680981655,0.0088855931005584754,0,129.16688625453924,True
2019-06-03,9590.0605223480725,-0.022314211533754458,0,129.16688625453924,True
2019-06-04,9481.1011189845922,-0.011361701327073814,0,129.16688625453924,True
2019-06-05,9914.3039619859446,0.04569119531210597,0,129.16688625453924,True
2019-06-06,9685.293391638761,-0.023099006367493957,0,129.16688625453924,True
2019-06-07,9236.7110818753426,-0.046315820453170398,0,129.16688625453924,True
2019-06-10,8848.4957527103015,-0.04202960617949969,0,129.16688625453924,True
2019-06-11,8985.2815323559807,0.015458647827658378,0,129.16688625453924,True
2019-06-12,8980.6538928165701,-0.00051502443443163237,0,129.16688625453924,True
2019-06-13,8842.2723087691429,-0.015408853931907496,0,129.16688625453924,True
2019-06-14,9205.5697277030686,0.04108643188625094,0,129.16688625453924,True
2019-06-17,8584.6180462834072,-0.067453911032902325,0,129.16688625453924,True
2019-06-18,8674.2811856180742,0.010444627687714814,0,129.16688625453924,True
2019-06-19,9091.920502722458,0.048146850230867289,0,129.16688625453924,True
2019-06-20,8749.3382036352032,-0.03767986081539898,0,129.16688625453924,True
2019-06-21,8597.491405804436,-0.017355232395483089,0,129.16688625453924,True
2019-06-24,8351.7621892137904,-0.028581501858175318,0,129.16688625453924,True
2019-06-25,8125.5781862200802,-0.027082189108045274,0,129.16688625453924,True
2019-06-26,8081.0342670911523,-0.005481938405868636,0,129.16688625453924,True
2019-06-27,8401.8456257085527,0.039699294423717335,0,129.16688625453924,True
2019-06-28,8812.2930694373608,0.048852057275712513,0,129.16688625453924,True
2019-07-01,8654.0740036154075,-0.017954358142114657,8654.0740036154075,0,True
