date,open,high,low,close
2019-08-13,76.986531719536771,80.368941110667592,74.160294165520412,77.42149482824189
2019-08-14,77.034682608618269,79.988088211693821,74.197399773745843,77.114580926943958
2019-08-15,76.961756748340818,80.149434118640016,74.309787450471717,77.126416906828453
2019-08-16,76.927147109600313,80.592105142044232,74.261701014599353,77.391541203171101
2019-08-19,77.250353200930107,81.00840381760149,74.354252034170258,77.885126360401372
2019-08-20,77.426800747304256,81.353257582902899,74.421557006669772,78.008941289639921
2019-08-21,77.485143087301083,81.459956222281988,74.445261093613667,78.02273781032649
2019-08-22,77.520436560835591,81.614163822781819,74.477274725166694,78.129331058219151
2019-08-23,77.599282382228211,81.764440960429866,74.494453464052029,78.254504810846655
2019-08-26,77.672662480593459,81.875572966603272,74.51359014147414,78.312924298153604
2019-08-27,77.718395171273002,81.95523360210791,74.529263673344431,78.336077194000268
2019-08-28,77.749025684364398,82.015476286355948,74.538779388280815,78.371558684536652
2019-08-29,77.780019587926034,82.070768052179488,74.5473695930215,78.409094940854672
2019-08-30,77.809687116271306,82.115059404580563,74.553584210220123,78.43126426016066
2019-09-02,77.833031650434407,82.148649807395515,74.558537527422786,78.44365897764304
2019-09-03,77.850619749193967,82.175150729389586,74.562548628469528,78.456237185875025
2019-09-04,77.865505544274839,82.196782109001646,74.565473842102534,78.468273187207288
2019-09-05,77.878706528993689,82.214450475344933,74.567824370704272,78.476421168331669
2019-09-06,77.88977672413705,82.228364151088186,74.569630285003129,78.481706032534277
2019-09-09,77.898689701307092,82.239364564510652,74.571026903276788,78.48630156662351
2019-09-10,77.906030188805914,82.248211767849085,74.572127826054725,78.49036150609227
2019-09-11,77.912263987145366,82.255333799086955,74.572968135853358,78.493320501063394
2019-09-12,77.917513327665461,82.261025239498011,74.573626350685686,78.495396756752626
2019-09-13,77.921854192009945,82.2655497474599,74.574137553068155,78.497089500244485
2019-09-16,77.925443498790983,82.269170981350271,74.574530143133117,78.498507834146835
2019-09-17,77.928444773720187,82.272072851025115,74.574840873993054,78.499579023387781
2019-09-18,77.930958775064298,82.274393695756643,74.575078098628055,78.500365884620322
2019-09-19,77.933053225592758,82.276247442004347,74.575263534786401,78.500987438871249
2019-09-20,77.934792544525308,82.277730113498336,74.575408876640239,78.501493278235017
2019-09-23,77.93624280285654,82.278914948676842,74.575519135977629,78.501883402711655
