date,equity,return,cash,shares,exposed
2019-08-13,10000,0,10000,0,False
2019-08-14,10000,0,10000,0,False
2019-08-15,10000,0,10000,0,False
2019-08-16,10000,0,10000,0,False
2019-08-19,10000,0,10000,0,False
2019-08-20,10000,0,10000,0,False
2019-08-21,10000,0,10000,0,False
2019-08-22,10000,0,10000,0,False
2019-08-23,10000,0,10000,0,False
2019-08-26,10000,0,10000,0,False
2019-08-27,10000,0,10000,0,False
2019-08-28,10000,0,10000,0,False
2019-08-29,10000,0,10000,0,False
2019-08-30,10000,0,10000,0,False
2019-09-02,10000,0,10000,0,False
2019-09-03,10000,0,10000,0,False
2019-09-04,10000,0,10000,0,False
2019-09-05,10000,0,10000,0,False
2019-09-06,10000,0,10000,0,False
2019-09-09,10000,0,10000,0,False
2019-09-10,10000,0,10000,0,False
2019-09-11,10000,0,10000,0,False
2019-09-12,10000,0,10000,0,False
2019-09-13,10000,0,10000,0,False
2019-09-16,10000,0,10000,0,False
2019-09-17,10000,0,10000,0,False
2019-09-18,10000,0,10000,0,False
2019-09-19,10000,0,10000,0,False
2019-09-20,10000,0,10000,0,False
2019-09-23,10000,0,10000,0,False
