date,equity,return,cash,shares,exposed
2019-07-02,10000,0,10000,0,False
2019-07-03,10000,0,10000,0,False
2019-07-04,10000,0,10000,0,False
2019-07-05,10000,0,10000,0,False
2019-07-08,10000,0,10000,0,False
2019-07-09,10000,0,10000,0,False
2019-07-10,10825.174423888551,0.082517442388855056,0,134.65720090027315,True
2019-07-11,10829.855385939414,0.0004324144690484033,10829.855385939414,0,False
2019-07-12,10829.855385939414,0,10829.855385939414,0,False
2019-07-15,10829.855385939414,0,10829.855385939414,0,False
2019-07-16,10734.974065925055,-0.0087610883648128191,0,130.58322192391057,True
2019-07-17,10631.650877849102,-0.0096249126864610401,0,130.58322192391057,True
2019-07-18,10947.498750372555,0.029708262258829166,0,130.58322192391057,True
2019-07-19,10945.642841030898,-0.00016952816200077603,0,130.58322192391057,True
2019-07-22,11075.667262766465,0.011879103276434044,0,130.58322192391057,True
2019-07-23,11079.423011598201,0.00033909910280183198,0,130.58322192391057,True
2019-07-24,11183.879938656662,0.0094280114541265281,0,130.58322192391057,True
2019-07-25,11381.939576118688,0.01770938516403775,0,130.58322192391057,True
2019-07-26,10728.706511337858,-0.057392069287683478,0,130.58322192391057,True
2019-07-29,10840.384531142967,0.01040927158246796,0,130.58322192391057,True
2019-07-30,10498.835239871762,-0.031507119538977557,0,130.58322192391057,True
2019-07-31,9998.3022125113421,-0.047675100706364937,0,130.58322192391057,True
2019-08-01,9959.1400795705758,-0.0039168782967733407,0,130.58322192391057,True
2019-08-02,10044.431144352966,0.0085640993199151971,0,130.58322192391057,True
2019-08-05,10016.538635708872,-0.0027769127234025248,10016.538635708872,0,False
2019-08-06,10016.538635708872,0,10016.538635708872,0,False
2019-08-07,10016.538635708872,0,10016.538635708872,0,False
2019-08-08,10016.538635708872,0,10016.538635708872,0,False
2019-08-09,10016.538635708872,0,10016.538635708872,0,False
2019-08-12,10016.538635708872,0,10016.538635708872,0,False
