date,open,high,low,close,volume
2018-01-02,100.09145692028582,100.47310879399429,99.634142953585169,100.01405107475337,838545
2018-01-03,99.702498271866716,100.38625653901012,99.529327713487973,100.21189837948828,185718
2018-01-04,100.43776495376603,103.13434058089729,100.23091716146656,102.92193929270412,690822
2018-01-05,103.21276364234997,107.26249699541648,101.93719987117316,105.93688424806851,1878160
2018-01-08,105.31863558362443,106.11599658242268,104.74307910032327,105.53608259591378,1547377
2018-01-09,105.12460607168373,107.1500534102811,103.47315677343124,105.46678545690145,1691203
2018-01-10,105.50724196349044,107.31151425694172,105.23084790221777,107.03039359929947,1832052
2018-01-11,106.9288990448696,108.02456306842208,104.93313793543082,106.00835207437073,323258
2018-01-12,106.0030090199662,106.75581439926518,105.84376160987136,106.59543605611412,637078
2018-01-15,106.32299304528323,107.40015739233105,105.39683422683842,106.46461560572142,213666
2018-01-16,106.74586073426708,108.0211032908002,106.06352784979764,107.33061889651097,108997
2018-01-17,107.58135398174514,107.99727359759346,106.28542221973173,106.69633164170655,1685944
2018-01-18,106.71746943486883,107.25241346578835,104.36368881226295,104.88683401679701,1880199
2018-01-19,105.24213272332642,105.82040119216582,102.27858756540496,102.84057239691717,395939
2018-01-22,102.98491037736251,103.82344303475487,100.9741389210463,101.79629930092253,1472121
2018-01-23,101.53421887344734,102.48638180180711,100.21853204561206,101.15835678654403,1116306
2018-01-24,101.27032537802862,102.42540760405352,99.954233310532132,101.09430428277363,231528
2018-01-25,100.80390945658783,103.85394357530173,100.32002866752828,103.35542195609997,1839915
2018-01-26,103.62815898181259,106.33633072221538,102.51328613522499,105.19232228963516,1755353
2018-01-29,105.17656800192815,106.71719376872903,102.6383087409252,104.14175410058206,1178151
2018-01-30,104.08401444047666,105.03094833923623,103.74225202340705,104.68607664145925,1444988
2018-01-31,104.47244339211795,105.23182513819233,103.37044052797502,104.12181211527469,854743
2018-02-01,104.50439292640993,104.69878720601385,104.10503586745587,104.29868728137149,1606394
2018-02-02,104.25034682089859,105.16037789613017,103.71852640274611,104.62391506553763,945530
2018-02-05,104.48956140408272,105.63300164614149,104.2603190093371,105.40125062779924,1979433
