date,forward_selected,backward_selected,buy_hold,cash
2019-05-21,0,0,-0.0044965780421818424,0
2019-05-22,0,0,-0.01052875497563277,0
2019-05-23,0,0,0.014048587984127447,0
2019-05-24,0,0,-0.017769146070207187,0
2019-05-27,0,0,-0.015180583013023941,0
2019-05-28,0,0.0078989041883712474,0.018292004559967712,0
2019-05-29,0,-0.013630334508275999,-0.013630334508275999,0
2019-05-30,0,0.001828101257678183,0.0018281012576779609,0
2019-05-31,0,0.0088855931005584754,0.0088855931005584754,0
2019-06-03,0,-0.022314211533754458,-0.022314211533754458,0
2019-06-04,0,-0.011361701327073925,-0.011361701327073814,0
2019-06-05,0,0.04569119531210597,0.04569119531210597,0
2019-06-06,0,-0.023099006367493846,-0.023099006367493957,0
2019-06-07,0,-0.046315820453170287,-0.046315820453170398,0
2019-06-10,0,-0.042029606179499579,-0.04202960617949969,0
2019-06-11,0,0.015458647827658156,0.015458647827658378,0
2019-06-12,0,-0.00051502443443163237,-0.00051502443443163237,0
2019-06-13,0,-0.015408853931907274,-0.015408853931907496,0
2019-06-14,0,0.04108643188625094,0.04108643188625094,0
2019-06-17,0,-0.067453911032902436,-0.067453911032902325,0
2019-06-18,0,0.010444627687714814,0.010444627687714814,0
2019-06-19,0,0.048146850230867289,0.048146850230867289,0
2019-06-20,0,-0.037679860815399091,-0.03767986081539898,0
2019-06-21,0,-0.017355232395482978,-0.017355232395483089,0
2019-06-24,0,-0.028581501858175429,-0.028581501858175318,0
2019-06-25,0,-0.027082189108045052,-0.027082189108045274,0
2019-06-26,0,-0.005481938405868747,-0.005481938405868636,0
2019-06-27,0,0.039699294423717335,0.039699294423717335,0
2019-06-28,0,0.048852057275712513,0.048852057275712513,0
2019-07-01,0,-0.017954358142114435,-0.017954358142114657,0
2019-07-02,0.047935872931565093,0,0.047935872931565093,0
2019-07-03,0.0015179797450479704,0,0.0015179797450479704,0
2019-07-04,-0.0039410638368391204,0,0.042143623870562141,0
2019-07-05,-0.0028385957424874597,0,0.0010288078208333662,0
2019-07-08,0.0082947718018508976,0,0.0082947718018511196,0
2019-07-09,0.01076512976705879,0,0.01076512976705879,0
2019-07-10,0.088760480911377782,0.082517442388855056,0.088760480911378004,0
2019-07-11,0.023924884022437531,0.0004324144690484033,0.023924884022437531,0
2019-07-12,-0.013242613708793427,0,-0.013242613708793538,0
2019-07-15,0.021185911074703689,0,0.021185911074703911,0
2019-07-16,-0.0088828260939624037,-0.0087610883648128191,-0.0088828260939624037,0
2019-07-17,-0.0096249126864610401,-0.0096249126864610401,-0.0096249126864611512,0
2019-07-18,0.029708262258829166,0.029708262258829166,0.029708262258829166,0
2019-07-19,-0.00016952816200088705,-0.00016952816200077603,-0.00016952816200066501,0
2019-07-22,0.011879103276434044,0.011879103276434044,0.011879103276433822,0
2019-07-23,0.00033909910280183198,0.00033909910280183198,0.00033909910280183198,0
2019-07-24,0.0094280114541267501,0.0094280114541265281,0.0094280114541267501,0
2019-07-25,0.01770938516403775,0.01770938516403775,0.017709385164037528,0
2019-07-26,-0.0573920692876837,-0.057392069287683478,-0.057392069287683478,0
2019-07-29,0.010409271582468183,0.01040927158246796,0.010409271582468183,0
2019-07-30,-0.031507119538977668,-0.031507119538977557,-0.031507119538977668,0
2019-07-31,-0.015464527756522961,-0.047675100706364937,-0.047675100706364826,0
2019-08-01,0,-0.0039168782967733407,-0.0039168782967734517,0
2019-08-02,0,0.0085640993199151971,0.0085640993199151971,0
2019-08-05,0,-0.0027769127234025248,-0.01726560250787601,0
2019-08-06,0,0,0.023942416249557397,0
2019-08-07,0,0,-0.024848472656387788,0
2019-08-08,0,0,-0.00036474402578146048,0
2019-08-09,0,0,-0.013533195454506597,0
2019-08-12,0,0,0.0076624160771274763,0
2019-08-13,0,0,0.0072393938414876402,0
2019-08-14,0,0,-0.028866972608336372,0
2019-08-15,0,0,0.015544486548446645,0
2019-08-16,0,0,-0.0067319590241988747,0
2019-08-19,0,0,-0.050705986721915286,0
2019-08-20,0,0,-0.049246607874410486,0
2019-08-21,0,0,0.0053206128789167195,0
2019-08-22,0,0,0.0057319003395484014,0
2019-08-23,0,0,-0.010783953374322697,0
2019-08-26,0,0,0.002041174884678254,0
2019-08-27,0,0,-0.00067245440999930128,0
2019-08-28,0,0,0.027126975616605709,0
2019-08-29,0,0,-0.028161041448752755,0
2019-08-30,0,0,-0.039956755659293131,0
2019-09-02,0,0,-0.02138961683791285,0
2019-09-03,0,0,0.0033117144616536809,0
2019-09-04,0,0,0.028002866421692474,0
2019-09-05,0,0,-0.017504755516464021,0
2019-09-06,0,0,-0.064647087200110365,0
2019-09-09,0,0,-0.03932782398541379,0
2019-09-10,0,0,-0.021945512234190279,0
2019-09-11,0,0,-0.011970612581459594,0
2019-09-12,0,0,-0.0080298322162730695,0
2019-09-13,0,0,0.0091966450197651373,0
2019-09-16,0,0,-0.0098897462414803128,0
2019-09-17,0,0,0.017217822265358507,0
2019-09-18,0,0,-0.01003141717070255,0
2019-09-19,0,0,-0.023121910104083709,0
2019-09-20,0,0,0.019456346755719833,0
2019-09-23,0,0,-0.035902597719019047,0
